"name","val","col"
"Office and Administrative",-4759,"#404040"
"Manufacturing and Production",-1609,"#404040"
"Construction and Extraction",-497,"#404040"
"Arts, Design, Entertainment, Sports and Media",-151,"#404040"
"Legal",-109,"#404040"
"Installation and Maintenance",-40,"#404040"
"Business and Financial Operations",492,"#669999"
"Management",416,"#669999"
"Computer and Mathematical",405,"#669999"
"Architecture and Engineering",339,"#669999"
"Sales and Related",303,"#669999"
"Education and Training",66,"#669999"
